ID,sex,age,treatment,consumeYN,Behaviour1,Behaviour2,Behaviour3,Behaviour4,Behaviour5,Behaviour6,Behaviour7,Behaviour8,Behaviour9,Behaviour10,Behaviour11,Behaviour12,Behaviour13,Behaviour14,Behaviour15,Behaviour16,Behaviour17,Behaviour18,Behaviour19,Behaviour20,Behaviour21,Behaviour22,Behaviour23,Behaviour24,Behaviour25,Behaviour26,Behaviour27,Behaviour28,Behaviour29,Behaviour30,Behaviour31,Behaviour32,Behaviour33,Behaviour34,Behaviour35,Behaviour36,Behaviour37,Behaviour38,Behaviour39,Behaviour40,Behaviour41,Behaviour42,Behaviour43,Behaviour44,Behaviour45,Behaviour46,Behaviour47,Behaviour48,Behaviour49,Behaviour50,Behaviour51,Behaviour52,Behaviour53,Behaviour54,Behaviour55,Behaviour56,Behaviour57,Behaviour58,Behaviour59,Behaviour60,Behaviour61,Behaviour62,Behaviour63,Behaviour64,Behaviour65,Behaviour66
01n-m0,m,a,n,0,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,dismember,dismember,dismember,thrash,thrash,reorient,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04n-m0,m,a,n,0,peck,peck,peck,peck,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,peck,peck,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
07n-m0,m,a,n,0,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12t-m1,m,a,t,1,peck,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14n-f0,f,a,n,0,peck,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19n-f1,f,a,n,1,peck,peck,thrash,thrash,peck,peck,peck,peck,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,peck,peck,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,peck,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15t-f0,f,a,t,0,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t-m0,m,a,t,0,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20n-f1,f,a,n,1,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,dismember,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25n-m0,m,a,n,0,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26n-f0,f,a,n,0,peck,peck,peck,peck,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27n-m0,m,a,n,0,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27t-f0,f,a,t,0,peck,peck,peck,peck,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30n-f0,f,a,n,0,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33n-f0,f,a,n,0,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36n-m0,m,a,n,0,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36t-m1,m,a,t,1,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,reorient,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,dismember,dismember,dismember,dismember,thrash,thrash,reorient,thrash,peck,reorient,reorient,reorient,reorient,eat
39t-f0,f,a,t,0,peck,peck,peck,peck,reorient,reorient,thrash,thrash,peck,reorient,peck,reorient,reorient,thrash,thrash,thrash,thrash,reorient,reorient,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45n-m0,m,a,n,0,peck,peck,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54n-f0,f,a,n,0,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56t-f1,f,a,t,1,peck,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,peck,reorient,thrash,thrash,thrash,peck,peck,peck,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58n-m1,m,a,n,1,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59t-m0,m,a,t,0,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60bn-f0,f,a,n,0,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60t-u0,u,j,t,0,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61bn-f0,f,a,n,0,peck,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63t-f0,f,a,t,0,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64n-m0,m,a,n,0,peck,reorient,peck,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67n-f0,f,a,n,0,peck,peck,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67t-u1,u,j,t,1,peck,thrash,reorient,peck,thrash,thrash,thrash,reorient,reorient,thrash,reorient,thrash,reorient,reorient,reorient,thrash,reorient,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69n-f0,f,a,n,0,thrash,thrash,thrash,thrash,thrash,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6t-u1,u,j,t,1,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70bt-f1,f,a,t,1,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,thrash,reorient,peck,thrash,reorient,thrash,thrash,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71n-m0,m,a,n,0,peck,peck,peck,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72n-f0,f,a,n,0,peck,peck,peck,peck,peck,peck,thrash,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75n-f1,f,a,n,1,peck,peck,peck,peck,peck,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,reorient,reorient,thrash,thrash,peck,thrash,thrash,thrash,thrash,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75t-m1,m,a,t,1,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77t-u1,u,j,t,1,peck,peck,peck,thrash,thrash,dismember,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9t-u1,u,j,t,1,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,thrash,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
