ID,sex,age,treatment,consumeYN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
07n-m0,m,a,n,0,2,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27n-m0,m,a,n,0,2,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30n-f0,f,a,n,0,2,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33n-f0,f,a,n,0,2,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15t-f0,f,a,t,0,2,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17t-m0,m,a,t,0,3,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59t-m0,m,a,t,0,3,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25n-m0,m,a,n,0,4,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36n-m0,m,a,n,0,4,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54n-f0,f,a,n,0,4,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60bn-f0,f,a,n,0,4,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14n-f0,f,a,n,0,5,peck,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45n-m0,m,a,n,0,6,peck,peck,peck,peck,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27t-f0,f,a,t,0,7,peck,peck,peck,peck,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26n-f0,f,a,n,0,8,peck,peck,peck,peck,peck,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69n-f0,f,a,n,0,8,thrash,thrash,thrash,thrash,thrash,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64n-m0,m,a,n,0,9,peck,reorient,peck,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63t-f0,f,a,t,0,11,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67n-f0,f,a,n,0,16,peck,peck,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04n-m0,m,a,n,0,17,peck,peck,peck,peck,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,peck,peck,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72n-f0,f,a,n,0,17,peck,peck,peck,peck,peck,peck,thrash,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71n-m0,m,a,n,0,18,peck,peck,peck,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61bn-f0,f,a,n,0,27,peck,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39t-f0,f,a,t,0,31,peck,peck,peck,peck,reorient,reorient,thrash,thrash,peck,reorient,peck,reorient,reorient,thrash,thrash,thrash,thrash,reorient,reorient,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,peck,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60t-u0,u,j,t,0,38,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01n-m0,m,a,n,0,54,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,dismember,dismember,dismember,thrash,thrash,reorient,finish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12t-m1,m,a,t,1,6,peck,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75t-m1,m,a,t,1,14,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20n-f1,f,a,n,1,18,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,dismember,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9t-u1,u,j,t,1,19,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,thrash,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67t-u1,u,j,t,1,22,peck,thrash,reorient,peck,thrash,thrash,thrash,reorient,reorient,thrash,reorient,thrash,reorient,reorient,reorient,thrash,reorient,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77t-u1,u,j,t,1,22,peck,peck,peck,thrash,thrash,dismember,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58n-m1,m,a,n,1,24,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70bt-f1,f,a,t,1,28,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,reorient,thrash,reorient,peck,thrash,reorient,thrash,thrash,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75n-f1,f,a,n,1,29,peck,peck,peck,peck,peck,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,reorient,reorient,thrash,thrash,peck,thrash,thrash,thrash,thrash,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56t-f1,f,a,t,1,29,peck,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,peck,reorient,thrash,thrash,thrash,peck,peck,peck,reorient,thrash,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19n-f1,f,a,n,1,47,peck,peck,thrash,thrash,peck,peck,peck,peck,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,reorient,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,peck,peck,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,peck,thrash,thrash,thrash,peck,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6t-u1,u,j,t,1,54,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,peck,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,thrash,peck,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36t-m1,m,a,t,1,66,peck,peck,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,peck,reorient,thrash,thrash,thrash,thrash,thrash,peck,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,thrash,reorient,thrash,thrash,dismember,dismember,dismember,dismember,thrash,thrash,reorient,thrash,peck,reorient,reorient,reorient,reorient,eat
